epoch,accuracy,loss,val_accuracy,val_balanced_accuracy,val_balanced_loss,val_campis_accuracy,val_campis_loss,val_irish_accuracy,val_irish_loss,val_loss
0,0.887416660785675,0.2960755527019501,0.9587965990843689,0.8450366155418199,0.39140069496769364,0.7167630057803468,0.6923561514516191,0.9733102253032929,0.0904452384837682,0.12449709850451321
1,0.940833330154419,0.16871125996112823,0.9686069326357096,0.8515943538934694,0.41457661978092974,0.7196531791907514,0.7728808839129807,0.9835355285961872,0.056272355648878745,0.096812995083048
2,0.9489166736602783,0.14391061663627625,0.9715500327011118,0.8640215986616042,0.36554868184678885,0.7427745664739884,0.6789655184429377,0.9852686308492201,0.05213184525063999,0.08759365867845803
3,0.9549999833106995,0.12502381205558777,0.9705689993459777,0.8621432363931437,0.35564523387129765,0.7398843930635838,0.6499996031113727,0.9844020797227037,0.061290864631222616,0.09459583904491327
4,0.9617499709129333,0.10653910040855408,0.9726945716154349,0.8673450476352671,0.3918817063660227,0.7485549132947977,0.7316123929065487,0.9861351819757366,0.05215101982549669,0.09059013609201792
5,0.9620000123977661,0.10904897749423981,0.9713865271419229,0.8639349435489526,0.4442606740037654,0.7427745664739884,0.8231376955735955,0.9850953206239168,0.06538365243393529,0.10825201393267998
6,0.9725000262260437,0.07932782173156738,0.9759646827992152,0.877228739443604,0.3721415067000098,0.7658959537572254,0.6936384090230026,0.9885615251299826,0.05064460437701701,0.08702064368498151
7,0.9743333458900452,0.08032109588384628,0.9771092217135383,0.8914196411576722,0.3133190296835502,0.7947976878612717,0.5785655006765444,0.9880415944540728,0.04807255869055595,0.07808409530389014
8,0.9741666913032532,0.07982079684734344,0.9767822105951602,0.8844541729696156,0.3897920257347997,0.7803468208092486,0.7304520072754989,0.9885615251299826,0.049132044194100534,0.08767630633049095
9,0.9766666889190674,0.07214168459177017,0.9762916939175932,0.8923447971869647,0.33665776588962637,0.7976878612716763,0.6249828029949922,0.987001733102253,0.048332728784260544,0.08095550930697362
