origen,destino,razon,sha256
datasets/dataset_irish/early_blight/earlyblt10148.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10148.jpg,duplicado,98488962602d2106a0af4ec1075d37e06fa9de09ba04a22a8e54160d2b594e5c
datasets/dataset_irish/early_blight/earlyblt1015.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1015.jpg,duplicado,d2d9dce4cd82d690bee133300c6d1547997d38ee7b1890b246b2469238bb35d7
datasets/dataset_irish/early_blight/earlyblt10154.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10154.jpg,duplicado,81c482e4c74085cca3e972b4b0a61e14c8d92cf41ae5e4744c58ea49765f51ce
datasets/dataset_irish/early_blight/earlyblt10159.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10159.jpg,duplicado,837e695ffc3527d95acc8f091d97c2232c08c54b27e276fb34b96771a793c6a2
datasets/dataset_irish/early_blight/earlyblt1016.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1016.jpg,duplicado,aa1aab3cf0579ed17a5ee660105e983d230b6d8cdb39083ddceb9250cc270fc8
datasets/dataset_irish/early_blight/earlyblt10163.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10163.jpg,duplicado,09a21536419f4e7c7942967b6599c6b7168284c76902e950350f41f5879ef4b6
datasets/dataset_irish/early_blight/earlyblt1017.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1017.jpg,duplicado,0949dc2693a51ca35071b5f7f587aa4e4100c682e44eca5e285e45c0a5668a09
datasets/dataset_irish/early_blight/earlyblt10178.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10178.jpg,duplicado,d7b074a884946e57ecc89d55a9d7fbf2163dc17c2e4eaf47c5f695d15a0f6a8c
datasets/dataset_irish/early_blight/earlyblt1018.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1018.jpg,duplicado,2674ab2e5322081219006bc81d56d307b42576dcbb2298cb1cbca3f238a31bd4
datasets/dataset_irish/early_blight/earlyblt10185.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10185.jpg,duplicado,4139f512c85a256a3568eedea2676df7d53bf514a7121f088877557dd880b7c6
datasets/dataset_irish/early_blight/earlyblt10189.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10189.jpg,duplicado,5e124ebfd12af6cfdc35b9fad238c9c9eed50df38d0a0a10acd246166ab223a6
datasets/dataset_irish/early_blight/earlyblt1019.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1019.jpg,duplicado,f0c2c2b2de07368b7537db9de94ebb9f28cde67715ad4f2db184441d97f5141c
